transaction_id,user_id,category,amount,payment_method,status
T001,U101,Electronics,25000,UPI,COMPLETED
T002,U102,Clothing,1500,CARD,COMPLETED
T003,U103,Groceries,850,UPI,COMPLETED
T004,U104,Electronics,45000,CARD,COMPLETED
T005,U105,Food,650,CASH,COMPLETED
T006,U106,Clothing,2200,UPI,FAILED
T007,U107,Groceries,1200,CARD,COMPLETED
T008,U108,Electronics,18000,UPI,COMPLETED
T009,U109,Food,900,CASH,COMPLETED
T010,U110,Clothing,3500,CARD,COMPLETED
T011,U111,Electronics,32000,UPI,COMPLETED
T012,U112,Groceries,750,CASH,FAILED
T013,U113,Food,1100,UPI,COMPLETED
T014,U114,Electronics,27000,CARD,COMPLETED
T015,U115,Clothing,2800,UPI,COMPLETED
